loan_id,customer_id,age,gender,education,marital_status,employment_type,employment_length_months,annual_income,monthly_income,existing_emi,debt_to_income,credit_score,credit_history_length_months,delinquency_count,past_default_flag,loan_amount,loan_term_months,interest_rate,emi_amount,loan_purpose,loan_product,disbursal_date,repayment_status,first_emi_default_flag,loan_source_type,state,district,city,pincode,urban_rural_flag,branch_code,branch_region,service_area_cluster,distance_to_branch_km,area_default_rate,district_risk_score,state_risk_score,population_density_band,economic_activity_type,channel,has_mortgage,has_dependents,has_cosigner,loan_default
LN102032,C202032,43,Male,Graduate,Divorced,Salaried,34,22900,1908,29,1.666,551,69,0,0,106000,48,18.66,3150,Business,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,513033,Urban,AUTO,SouthZone,4,18.8,17.8,0.331,0.464,High,Salaried,Branch,Yes,No,No,1
LN102033,C202033,44,Male,HighSchool,Single,Business,67,58800,4900,31,2.0,779,87,0,0,450000,48,9.62,11331,Home,Secured,2024-01-01,Active,0,Repeat,Rajasthan,Unknown,Unknown,614891,Urban,AUTO,WestZone,0,80.0,20.4,0.596,0.528,High,Salaried,Branch,No,Yes,No,1
LN102034,C202034,50,Female,PostGraduate,Single,Business,43,311600,25967,119,0.886,659,42,1,0,968000,60,14.74,22897,Personal,Unsecured,2024-01-01,Active,1,TopUp,West Bengal,Unknown,Unknown,460022,Urban,AUTO,EastZone,1,4.5,14.2,0.422,0.478,High,MSME,Branch,Yes,Yes,Yes,0
LN102035,C202035,70,Female,Graduate,Married,Salaried,57,23200,1933,573,2.0,631,68,0,0,112000,24,15.73,5469,Personal,Unsecured,2024-01-01,Active,0,Repeat,Maharashtra,Unknown,Unknown,685460,SemiUrban,AUTO,WestZone,3,1.1,16.4,0.353,0.419,Medium,MSME,Digital,No,Yes,No,0
LN102036,C202036,42,Male,Other,Divorced,Farmer,14,15200,1267,50,1.546,575,44,0,0,101000,120,19.36,1909,Business,Unsecured,2024-01-01,Active,0,TopUp,Uttar Pradesh,Unknown,Unknown,200164,Urban,AUTO,NorthZone,4,3.8,22.2,0.592,0.658,Medium,Mixed,Partner,No,No,No,1
LN102037,C202037,31,Male,Graduate,Married,Salaried,41,79600,6633,76,2.0,651,56,0,0,660000,18,9.74,39559,Home,Secured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,382194,SemiUrban,AUTO,SouthZone,0,17.4,15.4,0.409,0.443,Low,Agri,Branch,Yes,No,No,0
LN102038,C202038,37,Male,HighSchool,Married,Salaried,119,28100,2342,2,0.789,631,197,1,0,111000,84,10.04,1845,Home,Secured,2024-01-01,Active,0,Repeat,Gujarat,Unknown,Unknown,926240,SemiUrban,AUTO,WestZone,2,1.6,11.5,0.301,0.339,Medium,Mixed,Field,No,No,No,1
LN102039,C202039,21,Female,Graduate,Single,Business,68,118000,9833,511,2.0,648,130,0,0,989000,48,14.78,27414,Business,Unsecured,2024-01-01,Active,0,Repeat,Madhya Pradesh,Unknown,Unknown,564283,Rural,AUTO,CentralZone,2,5.1,21.3,0.635,0.59,Low,Salaried,Branch,Yes,Yes,Yes,0
LN102040,C202040,29,Male,Other,Married,Farmer,20,35500,2958,160,0.718,556,19,0,1,98000,84,16.3,1963,Education,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,258509,Urban,AUTO,WestZone,3,11.1,14.5,0.34,0.421,Medium,Agri,Field,No,No,No,1
LN102041,C202041,33,Female,Graduate,Married,Salaried,3,67100,5592,459,1.149,768,0,0,0,359000,84,10.03,5965,Home,Secured,2024-01-01,Active,0,Repeat,Rajasthan,Unknown,Unknown,481165,Urban,AUTO,WestZone,4,14.3,21.9,0.72,0.609,High,Salaried,Field,No,Yes,No,0
LN102042,C202042,31,Male,HighSchool,Divorced,SelfEmployed,102,86900,7242,543,0.558,660,147,0,0,191000,84,13.24,3500,Personal,Unsecured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,759336,Rural,AUTO,EastZone,0,19.7,18.7,0.643,0.542,Medium,Salaried,Digital,No,Yes,No,0
LN102043,C202043,39,Male,PostGraduate,Single,Salaried,9,145700,12142,949,1.525,493,0,0,0,498000,36,16.23,17565,Home,Secured,2024-01-01,Active,0,Repeat,Gujarat,Unknown,Unknown,152860,Urban,AUTO,WestZone,2,0.6,9.9,0.241,0.33,High,MSME,Branch,No,Yes,No,0
LN102044,C202044,28,Male,HighSchool,Divorced,Salaried,16,15500,1292,103,1.101,654,48,0,0,63000,84,17.85,1319,Education,Unsecured,2024-01-01,Active,0,New,Tamil Nadu,Unknown,Unknown,333525,Urban,AUTO,SouthZone,2,30.4,16.7,0.454,0.431,High,MSME,Branch,No,No,No,0
LN102045,C202045,51,Male,Graduate,Married,Salaried,5,85200,7100,1176,2.0,699,0,0,0,1220000,120,14.99,19675,Agri,Secured,2024-01-01,Active,0,Repeat,Rajasthan,Unknown,Unknown,833030,Urban,AUTO,WestZone,1,19.5,20.5,0.644,0.571,Medium,Salaried,Branch,No,No,No,0
LN102046,C202046,38,Male,Graduate,Married,Farmer,3,41300,3442,33,2.0,496,0,0,0,549000,24,18.27,27480,Agri,Secured,2024-01-01,Active,1,New,Bihar,Unknown,Unknown,656865,SemiUrban,AUTO,EastZone,1,6.2,20.7,0.599,0.672,Low,Salaried,Digital,No,Yes,No,0
LN102047,C202047,37,Male,Graduate,Married,Salaried,57,78900,6575,280,1.643,722,126,0,0,222000,24,12.71,10524,Home,Secured,2024-01-01,Active,0,Repeat,Telangana,Unknown,Unknown,844773,Urban,AUTO,SouthZone,3,0.6,11.1,0.366,0.374,High,Salaried,Digital,No,No,Yes,0
LN102048,C202048,34,Female,Graduate,Divorced,Salaried,4,107600,8967,2226,2.0,686,0,0,0,331000,24,13.29,15781,Personal,Unsecured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,549384,SemiUrban,AUTO,EastZone,2,12.2,14.8,0.382,0.445,Low,MSME,Branch,No,Yes,No,0
LN102049,C202049,39,Male,PostGraduate,Married,Salaried,7,224300,18692,1057,1.04,537,9,0,0,650000,48,15.89,18385,Home,Secured,2024-01-01,Active,0,New,Tamil Nadu,Unknown,Unknown,861287,Urban,AUTO,SouthZone,2,18.8,16.7,0.286,0.427,Medium,Salaried,Field,Yes,Yes,Yes,1
LN102050,C202050,47,Female,PostGraduate,Single,Salaried,6,104300,8692,1536,2.0,621,0,0,0,489000,12,14.73,44074,Education,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,364895,Urban,AUTO,SouthZone,3,2.7,17.6,0.505,0.424,Medium,MSME,Branch,No,Yes,No,0
LN102051,C202051,27,Male,Graduate,Married,Salaried,16,91200,7600,61,0.983,543,0,1,1,285000,60,19.13,7413,Personal,Unsecured,2024-01-01,Active,0,Repeat,Telangana,Unknown,Unknown,607769,Urban,AUTO,SouthZone,4,6.2,13.4,0.347,0.395,High,Mixed,Field,No,No,No,1
LN102052,C202052,30,Other,Graduate,Single,Salaried,42,35000,2917,104,0.527,699,27,0,0,63000,60,13.01,1434,Education,Unsecured,2024-01-01,Active,0,New,Gujarat,Unknown,Unknown,343414,Urban,AUTO,WestZone,2,6.4,13.3,0.428,0.388,Medium,Mixed,Partner,Yes,Yes,No,0
LN102053,C202053,34,Other,HighSchool,Married,Unemployed,9,12000,1000,28,1.137,439,34,2,0,50000,120,24.19,1109,Vehicle,Secured,2024-01-01,Active,1,New,Maharashtra,Unknown,Unknown,784018,Urban,AUTO,WestZone,4,21.1,12.3,0.465,0.363,High,Salaried,Field,Yes,Yes,No,1
LN102054,C202054,21,Female,HighSchool,Married,SelfEmployed,34,27200,2267,186,0.472,527,37,0,1,50000,120,17.49,885,Education,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,686555,SemiUrban,AUTO,WestZone,1,1.6,16.8,0.643,0.533,Medium,Agri,Partner,No,Yes,No,0
LN102055,C202055,28,Female,Graduate,Single,Salaried,46,100600,8383,821,1.033,642,18,0,0,392000,72,12.85,7838,Home,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,394785,SemiUrban,AUTO,EastZone,0,17.6,20.6,0.555,0.526,Medium,Agri,Branch,Yes,No,No,1
LN102056,C202056,32,Male,Graduate,Married,Salaried,0,142300,11858,203,2.0,803,0,0,0,706000,24,8.7,32156,Education,Unsecured,2024-01-01,Active,0,Repeat,Kerala,Unknown,Unknown,963092,Rural,AUTO,SouthZone,0,35.8,14.2,0.246,0.315,Low,Mixed,Digital,No,No,Yes,1
LN102057,C202057,48,Female,HighSchool,Married,Salaried,41,147800,12317,289,1.922,735,54,0,0,737000,36,8.84,23382,Vehicle,Secured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,195728,Rural,AUTO,SouthZone,1,0.4,14.3,0.34,0.314,Medium,Agri,Branch,No,Yes,No,0
LN102058,C202058,41,Female,Graduate,Single,Salaried,41,92300,7692,2028,0.946,555,43,0,0,251000,84,17.82,5249,Agri,Secured,2024-01-01,Active,0,Repeat,Tamil Nadu,Unknown,Unknown,296657,SemiUrban,AUTO,SouthZone,1,6.2,18.8,0.513,0.474,Low,Salaried,Branch,No,Yes,No,0
LN102059,C202059,40,Male,PostGraduate,Single,Farmer,1,122800,10233,2981,2.0,508,13,0,0,409000,18,14.42,25404,Vehicle,Secured,2024-01-01,Active,0,Repeat,Bihar,Unknown,Unknown,369553,Rural,AUTO,EastZone,0,73.3,25.9,0.788,0.788,Low,Mixed,Branch,No,Yes,No,1
LN102060,C202060,48,Male,PostGraduate,Married,Farmer,12,29500,2458,130,2.0,554,7,1,0,297000,48,19.36,8937,Personal,Unsecured,2024-01-01,Active,0,TopUp,Bihar,Unknown,Unknown,283061,Urban,AUTO,EastZone,2,19.5,19.2,0.583,0.67,Medium,MSME,Partner,Yes,No,Yes,0
LN102061,C202061,36,Male,Graduate,Single,Salaried,2,24500,2042,23,2.0,519,23,1,1,274000,60,16.62,6754,Education,Unsecured,2024-01-01,Active,0,New,Madhya Pradesh,Unknown,Unknown,379494,Urban,AUTO,CentralZone,0,43.3,20.0,0.869,0.659,Medium,Salaried,Field,Yes,No,Yes,1
LN102062,C202062,42,Male,PostGraduate,Divorced,Business,6,90700,7558,397,2.0,667,29,2,0,1255000,24,14.45,60523,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,785750,Urban,AUTO,WestZone,3,12.5,16.3,0.36,0.38,High,MSME,Digital,No,No,No,1
LN102063,C202063,36,Male,Graduate,Single,Business,20,44900,3742,810,1.135,655,5,1,0,168000,72,13.71,3436,Personal,Unsecured,2024-01-01,Active,0,TopUp,West Bengal,Unknown,Unknown,631711,Urban,AUTO,EastZone,0,7.8,19.4,0.493,0.485,High,Agri,Digital,Yes,No,No,0
LN102064,C202064,41,Male,Graduate,Single,SelfEmployed,0,93000,7750,1849,1.378,678,0,0,0,258000,36,14.08,8828,Agri,Secured,2024-01-01,Active,0,TopUp,Maharashtra,Unknown,Unknown,360824,SemiUrban,AUTO,WestZone,2,4.1,15.6,0.406,0.425,Medium,MSME,Branch,No,No,Yes,1
LN102065,C202065,31,Male,PostGraduate,Single,Salaried,3,238200,19850,794,1.641,646,29,0,0,932000,36,13.82,31772,Vehicle,Secured,2024-01-01,Active,0,New,Bihar,Unknown,Unknown,403882,Urban,AUTO,EastZone,3,27.0,21.8,0.685,0.672,Medium,Agri,Digital,No,No,No,1
LN102066,C202066,21,Female,PostGraduate,Single,Salaried,3,100600,8383,2160,2.0,645,11,0,0,1105000,84,13.77,20568,Home,Secured,2024-01-01,Active,1,New,Maharashtra,Unknown,Unknown,687868,Rural,AUTO,WestZone,0,29.8,19.9,0.688,0.529,Low,Salaried,Field,No,No,No,1
LN102067,C202067,36,Male,Graduate,Married,Salaried,4,43200,3600,611,2.0,547,22,0,1,238000,36,17.92,8595,Personal,Unsecured,2024-01-01,Active,0,Repeat,Uttar Pradesh,Unknown,Unknown,638051,SemiUrban,AUTO,NorthZone,0,9.1,24.0,0.807,0.747,Low,MSME,Digital,Yes,No,No,1
LN102068,C202068,55,Female,Graduate,Divorced,Salaried,1,69900,5825,1936,1.075,655,18,1,0,130000,36,12.1,4324,Home,Secured,2024-01-01,Active,0,New,Tamil Nadu,Unknown,Unknown,957767,Urban,AUTO,SouthZone,1,9.3,14.9,0.412,0.417,High,Salaried,Partner,No,No,No,0
LN102069,C202069,49,Male,PostGraduate,Married,Farmer,20,48900,4075,36,2.0,704,13,0,0,463000,60,12.49,10414,Agri,Secured,2024-01-01,Active,0,New,Andhra Pradesh,Unknown,Unknown,333632,Urban,AUTO,SouthZone,1,18.2,12.8,0.398,0.405,High,Agri,Branch,Yes,No,Yes,0
LN102070,C202070,49,Male,Graduate,Divorced,SelfEmployed,5,54900,4575,345,2.0,568,67,0,0,537000,24,12.9,25505,Personal,Unsecured,2024-01-01,Active,0,TopUp,Andhra Pradesh,Unknown,Unknown,665801,Rural,AUTO,SouthZone,4,1.7,17.7,0.542,0.503,Medium,MSME,Partner,No,No,No,0
LN102071,C202071,52,Male,Graduate,Married,Salaried,71,54400,4533,1220,1.551,665,130,0,0,289000,72,13.06,5811,Education,Unsecured,2024-01-01,Active,0,Repeat,Bihar,Unknown,Unknown,446590,SemiUrban,AUTO,EastZone,1,13.1,23.5,0.784,0.729,Medium,Salaried,Digital,Yes,Yes,No,0
LN102072,C202072,39,Male,PostGraduate,Married,Salaried,77,121400,10117,196,2.0,641,105,0,0,783000,48,19.95,23806,Business,Unsecured,2024-01-01,Active,0,New,Rajasthan,Unknown,Unknown,579524,Urban,AUTO,WestZone,4,6.2,16.3,0.422,0.488,High,Agri,Field,Yes,Yes,Yes,0
LN102073,C202073,40,Male,HighSchool,Single,SelfEmployed,31,15600,1300,8,2.0,558,71,2,0,149000,36,18.4,5417,Vehicle,Secured,2024-01-01,Active,0,Repeat,Uttar Pradesh,Unknown,Unknown,660159,Urban,AUTO,NorthZone,2,10.5,22.9,0.524,0.593,Medium,Salaried,Field,No,Yes,No,1
LN102074,C202074,30,Male,Graduate,Married,Business,2,30400,2533,63,0.915,643,0,2,0,111000,72,13.46,2255,Vehicle,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,909733,Urban,AUTO,NorthZone,2,15.8,19.9,0.499,0.534,Medium,MSME,Branch,Yes,Yes,No,1
LN102075,C202075,34,Male,Other,Married,Farmer,47,15900,1325,76,2.0,746,73,0,0,297000,24,13.31,14163,Personal,Unsecured,2024-01-01,Active,1,New,Andhra Pradesh,Unknown,Unknown,606662,Urban,AUTO,SouthZone,3,34.3,14.1,0.462,0.479,High,Salaried,Branch,Yes,Yes,Yes,0
LN102076,C202076,45,Female,Graduate,Single,Business,16,109100,9092,988,2.0,715,9,0,0,950000,72,12.39,18766,Home,Secured,2024-01-01,Active,0,Repeat,West Bengal,Unknown,Unknown,765390,Rural,AUTO,EastZone,4,21.0,20.9,0.398,0.513,Low,MSME,Branch,No,No,No,0
LN102077,C202077,52,Male,Graduate,Single,Farmer,4,22300,1858,245,1.523,534,0,0,1,117000,72,16.71,2584,Personal,Unsecured,2024-01-01,Active,0,Repeat,Rajasthan,Unknown,Unknown,575510,SemiUrban,AUTO,WestZone,0,29.5,16.6,0.615,0.507,Low,MSME,Branch,No,Yes,No,1
LN102078,C202078,36,Male,Graduate,Married,Salaried,54,150100,12508,245,1.494,647,99,2,0,802000,60,13.48,18446,Business,Unsecured,2024-01-01,Active,0,New,Madhya Pradesh,Unknown,Unknown,486114,SemiUrban,AUTO,CentralZone,2,27.3,16.9,0.57,0.505,Low,Salaried,Branch,No,No,No,1
LN102079,C202079,32,Female,HighSchool,Married,Farmer,9,32200,2683,65,1.278,660,0,0,0,124000,48,13.62,3365,Personal,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,260026,Urban,AUTO,SouthZone,1,22.4,15.3,0.399,0.442,High,MSME,Digital,No,Yes,No,0
LN102080,C202080,38,Male,Graduate,Married,Salaried,25,83800,6983,420,2.0,641,18,0,0,421000,36,14.19,14428,Education,Unsecured,2024-01-01,Active,0,TopUp,West Bengal,Unknown,Unknown,337465,Urban,AUTO,EastZone,2,4.3,17.4,0.37,0.54,High,Salaried,Digital,No,Yes,Yes,1
LN102081,C202081,45,Male,HighSchool,Married,Salaried,48,46000,3833,665,2.0,530,64,0,0,448000,36,16.67,15899,Business,Unsecured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,867891,Urban,AUTO,EastZone,0,14.0,20.2,0.54,0.557,Medium,MSME,Digital,Yes,No,No,1
LN102082,C202082,21,Male,Graduate,Married,Salaried,3,74300,6192,176,2.0,573,0,1,1,615000,48,15.86,17385,Home,Secured,2024-01-01,Active,0,New,Uttar Pradesh,Unknown,Unknown,781244,Urban,AUTO,NorthZone,2,12.1,22.0,0.703,0.614,Medium,MSME,Branch,No,No,No,1
LN102083,C202083,21,Male,Graduate,Married,Salaried,6,77300,6442,480,1.388,684,10,1,0,247000,36,14.15,8460,Agri,Secured,2024-01-01,Active,0,New,Kerala,Unknown,Unknown,812299,Urban,AUTO,SouthZone,1,5.5,10.7,0.17,0.2,Medium,Salaried,Branch,No,Yes,No,0
LN102084,C202084,31,Male,Graduate,Married,Salaried,124,111600,9300,1265,2.0,790,173,1,0,963000,36,12.75,32331,Business,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,186203,SemiUrban,AUTO,SouthZone,2,8.8,16.3,0.57,0.446,Low,Salaried,Digital,No,No,No,0
LN102085,C202085,23,Male,Graduate,Single,Business,39,138500,11542,718,2.0,555,82,0,0,1150000,48,17.31,33368,Personal,Unsecured,2024-01-01,Active,0,Repeat,Maharashtra,Unknown,Unknown,681118,Urban,AUTO,WestZone,2,23.1,17.8,0.362,0.448,Medium,Agri,Branch,No,Yes,No,1
LN102086,C202086,31,Male,HighSchool,Single,Business,8,48800,4067,258,2.0,526,36,0,0,101000,12,15.93,9160,Vehicle,Secured,2024-01-01,Active,1,Repeat,Gujarat,Unknown,Unknown,820590,Urban,AUTO,WestZone,4,2.3,17.7,0.333,0.373,High,Salaried,Digital,No,Yes,Yes,1
LN102087,C202087,36,Female,Graduate,Married,Salaried,30,157000,13083,327,2.0,728,44,0,0,1387000,36,11.13,45494,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,551331,SemiUrban,AUTO,WestZone,2,5.0,17.2,0.264,0.359,Medium,Salaried,Digital,No,Yes,No,0
LN102088,C202088,32,Male,Graduate,Married,Salaried,7,62400,5200,728,2.0,652,0,0,0,482000,60,16.91,11956,Vehicle,Secured,2024-01-01,Active,0,New,Andhra Pradesh,Unknown,Unknown,872217,Rural,AUTO,SouthZone,3,14.7,17.1,0.546,0.533,Low,Agri,Branch,No,No,No,0
LN102089,C202089,55,Male,HighSchool,Single,SelfEmployed,52,28700,2392,3,2.0,570,73,0,0,340000,60,19.94,8997,Business,Unsecured,2024-01-01,Active,0,Repeat,Gujarat,Unknown,Unknown,973552,Urban,AUTO,WestZone,3,25.3,13.5,0.442,0.378,Medium,Salaried,Branch,No,No,No,1
LN102090,C202090,41,Female,PostGraduate,Single,Salaried,21,47600,3967,602,0.814,617,22,2,0,124000,72,15.11,2629,Personal,Unsecured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,829443,Rural,AUTO,EastZone,3,17.1,15.6,0.465,0.467,Low,Salaried,Field,No,No,No,0
LN102091,C202091,41,Female,PostGraduate,Married,Business,51,97600,8133,1407,0.879,594,114,1,0,306000,84,14.06,5745,Home,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,664166,Rural,AUTO,EastZone,2,2.0,17.3,0.569,0.597,Low,MSME,Branch,No,No,No,0
LN102092,C202092,45,Male,Graduate,Married,Salaried,128,109500,9125,432,1.358,696,183,0,0,458000,48,11.57,11964,Vehicle,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,576903,Urban,AUTO,EastZone,1,4.3,15.2,0.571,0.506,High,MSME,Digital,No,Yes,No,0
LN102093,C202093,24,Female,HighSchool,Divorced,Farmer,85,20600,1717,171,1.796,619,132,0,0,103000,48,15.89,2913,Business,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,922245,Rural,AUTO,SouthZone,3,15.3,14.3,0.481,0.441,Medium,MSME,Branch,No,Yes,No,0
LN102094,C202094,50,Male,HighSchool,Single,Salaried,5,38100,3175,385,0.44,509,22,1,1,50000,84,16.64,1011,Vehicle,Secured,2024-01-01,Active,1,Repeat,West Bengal,Unknown,Unknown,667694,SemiUrban,AUTO,EastZone,3,57.6,20.1,0.513,0.512,Medium,MSME,Digital,Yes,Yes,No,1
LN102095,C202095,37,Male,Graduate,Single,Salaried,104,62500,5208,799,2.0,623,190,0,0,499000,48,12.32,13219,Agri,Secured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,387753,Urban,AUTO,SouthZone,0,6.2,13.6,0.522,0.376,High,Mixed,Digital,No,No,No,0
LN102096,C202096,46,Other,HighSchool,Single,Business,9,23000,1917,66,0.565,748,5,1,0,54000,72,10.63,1018,Vehicle,Secured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,820182,Urban,AUTO,SouthZone,0,34.0,17.8,0.483,0.418,Medium,Salaried,Digital,Yes,Yes,No,0
LN102097,C202097,25,Female,HighSchool,Married,SelfEmployed,11,31200,2600,980,1.665,690,0,0,0,97000,36,14.73,3350,Education,Unsecured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,993205,Rural,AUTO,EastZone,2,31.3,20.1,0.468,0.496,Low,Agri,Digital,Yes,Yes,No,0
LN102098,C202098,21,Male,Graduate,Married,Salaried,2,39500,3292,103,0.596,732,5,1,0,128000,120,12.3,1859,Personal,Unsecured,2024-01-01,Active,0,New,Kerala,Unknown,Unknown,420887,Rural,AUTO,SouthZone,1,2.9,10.8,0.166,0.289,Low,Agri,Partner,Yes,Yes,No,0
LN102099,C202099,47,Female,Other,Single,Farmer,22,19700,1642,139,0.65,534,60,0,0,55000,120,16.19,928,Home,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,220791,SemiUrban,AUTO,EastZone,2,14.4,20.3,0.493,0.512,Medium,MSME,Branch,No,Yes,Yes,1
LN102100,C202100,42,Female,Graduate,Married,SelfEmployed,27,46200,3850,189,2.0,631,49,0,0,331000,60,13.79,7666,Home,Secured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,932910,Urban,AUTO,SouthZone,0,0.9,15.8,0.507,0.483,High,Salaried,Digital,No,Yes,Yes,0
LN102101,C202101,27,Male,PostGraduate,Married,Salaried,54,127300,10608,1409,0.425,712,67,0,0,158000,72,12.17,3103,Personal,Unsecured,2024-01-01,Active,0,New,Gujarat,Unknown,Unknown,815303,SemiUrban,AUTO,WestZone,3,0.6,17.9,0.311,0.379,Medium,Salaried,Field,Yes,Yes,Yes,0
LN102102,C202102,27,Male,HighSchool,Married,Business,91,63000,5250,333,1.807,609,128,1,0,263000,36,15.27,9152,Agri,Secured,2024-01-01,Active,0,New,Rajasthan,Unknown,Unknown,343418,Urban,AUTO,WestZone,4,1.1,17.9,0.421,0.573,High,Salaried,Digital,No,No,No,0
LN102103,C202103,51,Male,HighSchool,Single,Salaried,20,30500,2542,99,1.552,726,9,0,0,160000,48,7.19,3846,Business,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,919816,Urban,AUTO,SouthZone,4,18.7,12.8,0.333,0.378,High,Agri,Branch,No,No,No,0
LN102104,C202104,23,Female,HighSchool,Single,Unemployed,5,12000,1000,63,2.0,452,2,0,0,103000,72,20.72,2510,Home,Secured,2024-01-01,Active,0,New,West Bengal,Unknown,Unknown,662259,Urban,AUTO,EastZone,1,6.7,14.7,0.572,0.524,High,Agri,Digital,No,Yes,No,1
LN102105,C202105,57,Male,Other,Married,Salaried,36,17800,1483,13,2.0,648,33,0,1,163000,48,16.79,4686,Home,Secured,2024-01-01,Active,1,New,Bihar,Unknown,Unknown,821641,Urban,AUTO,EastZone,2,14.0,25.3,0.923,0.706,High,Salaried,Digital,Yes,Yes,Yes,1
LN102106,C202106,27,Female,Graduate,Single,Business,34,116000,9667,2022,2.0,558,60,0,1,1188000,60,16.93,29480,Business,Unsecured,2024-01-01,Active,0,TopUp,Maharashtra,Unknown,Unknown,127561,Urban,AUTO,WestZone,4,30.0,18.0,0.364,0.478,Medium,Salaried,Branch,Yes,No,Yes,1
LN102107,C202107,45,Male,Graduate,Married,SelfEmployed,15,49300,4108,297,1.237,721,34,0,1,205000,60,14.15,4786,Home,Secured,2024-01-01,Active,0,New,Madhya Pradesh,Unknown,Unknown,803387,Urban,AUTO,CentralZone,2,11.1,17.4,0.53,0.523,Medium,MSME,Digital,Yes,Yes,No,1
LN102108,C202108,34,Male,Graduate,Married,Salaried,90,41100,3425,303,1.164,628,137,0,0,111000,36,11.94,3684,Education,Unsecured,2024-01-01,Active,0,New,Telangana,Unknown,Unknown,275757,Rural,AUTO,SouthZone,0,56.8,14.1,0.307,0.434,Low,Salaried,Digital,Yes,No,No,1
LN102109,C202109,45,Female,PostGraduate,Married,Business,1,144900,12075,3550,2.0,590,22,1,0,606000,36,20.03,22530,Education,Unsecured,2024-01-01,Active,0,Repeat,Kerala,Unknown,Unknown,488648,Urban,AUTO,SouthZone,4,10.0,13.9,0.367,0.322,High,MSME,Branch,No,No,No,1
LN102110,C202110,31,Female,Graduate,Single,Salaried,50,40500,3375,118,0.873,541,104,0,1,128000,72,16.73,2828,Personal,Unsecured,2024-01-01,Active,1,New,Madhya Pradesh,Unknown,Unknown,961768,Urban,AUTO,CentralZone,4,16.4,20.3,0.496,0.576,High,Salaried,Field,No,Yes,Yes,1
LN102111,C202111,36,Male,Graduate,Married,Business,7,29100,2425,18,1.287,668,45,0,0,93000,36,12.31,3103,Vehicle,Secured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,224472,SemiUrban,AUTO,WestZone,3,4.8,18.4,0.451,0.499,Low,Salaried,Digital,No,No,Yes,0
LN102112,C202112,38,Male,Other,Married,Salaried,24,22000,1833,50,1.219,666,39,0,0,175000,120,8.65,2184,Home,Secured,2024-01-01,Active,0,New,Bihar,Unknown,Unknown,294411,Urban,AUTO,EastZone,1,2.9,26.5,0.909,0.747,High,Agri,Partner,No,Yes,No,1
LN102113,C202113,25,Male,Graduate,Married,Salaried,68,49000,4083,120,2.0,631,88,0,1,393000,24,13.59,18793,Education,Unsecured,2024-01-01,Active,0,New,Karnataka,Unknown,Unknown,665380,SemiUrban,AUTO,SouthZone,3,6.9,10.4,0.151,0.275,Low,Mixed,Digital,No,Yes,No,1
LN102114,C202114,46,Male,Graduate,Married,SelfEmployed,10,54600,4550,249,2.0,651,0,0,0,1089000,84,12.14,19305,Home,Secured,2024-01-01,Active,0,New,Kerala,Unknown,Unknown,964022,SemiUrban,AUTO,SouthZone,2,28.4,9.2,0.378,0.29,Medium,Agri,Branch,Yes,Yes,No,0
LN102115,C202115,31,Male,Graduate,Divorced,Farmer,49,59600,4967,1936,2.0,689,62,1,0,368000,60,11.45,8084,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,807282,Urban,AUTO,WestZone,0,30.9,18.4,0.389,0.44,High,Mixed,Branch,No,Yes,No,0
LN102116,C202116,35,Female,PostGraduate,Married,SelfEmployed,15,125400,10450,4375,1.017,622,0,0,1,289000,72,15.88,6250,Personal,Unsecured,2024-01-01,Active,0,New,Maharashtra,Unknown,Unknown,956916,SemiUrban,AUTO,WestZone,4,3.3,15.6,0.378,0.45,Medium,Salaried,Branch,No,Yes,Yes,1
